headline,date,textblob_score,vader_score,average_score,sentiment_category
"

                                Native USDC on Sui: Available through NAVI Protocol                            
",09/10/2024,0.4,0.0,0.2,Neutral
"

                                SUI price set for new ATH amid native USDC launch                            
",08/10/2024,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                SEC-scrutinized Crypto.com counters agency with lawsuit                            
",08/10/2024,-0.1,-0.2263,-0.16315000000000002,Neutral
"

                                SUI leads top gainers as open interest hits all-time high                            
",08/10/2024,0.22,0.5859,0.40295,Bearish
"

                                Sui price soars as Bybit adds SUI on Launchpool                            
",07/10/2024,0.0,0.0,0.0,Neutral
"

                                HMSTR, SUI, FTT: Top cryptocurrencies to watch this week                            
",06/10/2024,0.5,0.2023,0.35115,Slightly Bullish
"

                                Sudeng soars to record high as Sui meme coins gain traction                            
",04/10/2024,0.16,0.5267,0.34335,Slightly Bullish
"

                                SUI price tanks after hitting a six-month high amid market volatility                            
",04/10/2024,0.16,0.0,0.08,Neutral
"

                                US citizen files lawsuit over pig butchering crypto scam                            
",03/10/2024,0.0,-0.6808,-0.3404,Slightly Bearish
"

                                SUI gains 115% in September backed by ecosystem growth                            
",30/09/2024,0.0,0.6249,0.31245,Slightly Bullish
"

                                Crypto AI tokens explode with TAO and RCOF eyeing 1000x run as SUI records weakness                            
",28/09/2024,0.0,-0.4215,-0.21075,Slightly Bearish
"

                                Solana, Base, Sui DEX volume lead as meme coins rebound                            
",28/09/2024,-0.8,0.0,-0.4,Slightly Bearish
"

                                Polymarket: Odds of Iggy Azalea lawsuit rise amid online casino plans                            
",24/09/2024,0.0,-0.2263,-0.11315,Neutral
"

                                Trader who bought SUI at $0.5 now bet on LINK and Intel Markets                            
",24/09/2024,0.0,0.0,0.0,Neutral
"

                                SUI price prediction: is this the next big L1 in crypto?                            
",23/09/2024,0.0,0.0,0.0,Neutral
"

                                IntelMarkets may skip the queue to become bigger altcoin than Ripple and SUI blockchain                            
",22/09/2024,0.0,0.0,0.0,Neutral
"

                                3 reasons why Sui price has gone parabolic                            
",20/09/2024,0.0,0.0,0.0,Neutral
"

                                SUI hits six-month peak following USDC integration                            
",18/09/2024,0.0,0.0,0.0,Neutral
"

                                Sui and MoviePass team up for USDC integration                            
",17/09/2024,0.0,0.0,0.0,Neutral
"

                                Blockchain Sui to add support for native USDC                            
",17/09/2024,0.0,0.4019,0.20095,Slightly Bullish
"

                                Sui forms a rare bullish pattern as open interest hits all-time high                            
",15/09/2024,0.15333333333333332,0.4588,0.30606666666666665,Slightly Bullish
"

                                SUI bullish pattern, XRP in growth cycle as CYBRO aims for $2.5M presale milestone                            
",14/09/2024,0.0,0.3818,0.1909,Neutral
"

                                Future of cryptocurrency: These altcoins are trending in Q4— SUI, BONK, IPMB, APORK                            
",14/09/2024,0.0,0.0,0.0,Neutral
"

                                SEC backtracks on ‘crypto asset securities’ claim in Binance suit                            
",13/09/2024,-0.1,0.5719,0.23595,Slightly Bullish
"

                                SUI hits monthly highs as Grayscale opens Sui Trust to accredited investors                            
",12/09/2024,0.0,0.5106,0.2553,Slightly Bullish
"

                                Grayscale’s Sui Trust opens for accredited investors                            
",11/09/2024,0.0,0.5106,0.2553,Slightly Bullish
"

                                Sui token forms a bullish pattern, nears a pivotal price                            
",08/09/2024,0.5,0.0,0.25,Slightly Bullish
"

                                Coinbase shareholder lawsuit against exchange to proceed                            
",06/09/2024,0.0,-0.2263,-0.11315,Neutral
"

                                Dragonfly-incubated stablecoin AUSD goes live on Sui                            
",05/09/2024,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                Sui’s Mysten Labs starts preorders for new gaming console: report                            
",02/09/2024,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                Sui token faces pressure, yet analysts say it could flip Solana                            
",27/08/2024,0.0,-0.296,-0.148,Neutral
"

                                SEC lawsuit against Kraken to proceed: ruling                            
",23/08/2024,-0.1,-0.2263,-0.16315000000000002,Neutral
"

                                Binance accused of acting as ‘get-away driver’ in new crypto laundering lawsuit                            
",21/08/2024,0.06818181818181818,-0.4767,-0.20425909090909092,Slightly Bearish
